fecha,cliente,valoracion,comentario
2026-06-15,Alejandro Ruiz,5,La comida espectacular y el trato del camarero fue inmejorable. Volveremos seguro.
2026-06-16,Marta Gómez,1,Un desastre. Tardaron una hora en traer los platos y cuando llegaron la comida estaba completamente fría.
2026-06-16,Carlos Mendoza,3,El sitio es bonito y el servicio correcto pero el precio me pareció excesivo para la cantidad de comida.
2026-06-17,Lucía Fernández,2,La hamburguesa estaba muy rica pero la música estaba tan alta que no podíamos ni hablar en la mesa. Las quejas no sirvieron de nada.
2026-06-17,Jorge Plaza,5,Excelente relación calidad precio. El menú del día es variado y el servicio es súper rápido. Muy recomendado.
2026-06-18,Elena Marín,4,Muy buena experiencia en general. Las croquetas son increíbles aunque tardaron un poco en tomarnos nota al principio.
2026-06-18,David Soto,1,No lo recomiendo para nada. Reservamos mesa con días de antelación y al llegar nos hicieron esperar 40 minutos en la puerta.
2026-06-19,Sofía Vega,5,El mejor restaurante de la zona. La atención al cliente es de diez y el postre de tarta de queso es obligatorio.
2026-06-19,Ricardo Peña,2,El camarero fue bastante antipático y nos metió prisa para pedir. La comida normalita nada del otro mundo.
2026-06-20,Laura Benítez,4,Un lugar muy acogedor. El servicio fue rápido y la comida estaba deliciosa. El único pero es que cuesta aparcar por la zona.